hardware_id	provider	inf_source	evidence
HID\VEN_ELAN&DEV_0183&Col03	ELAN	PTPFilter.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0183&Col05	ELAN	ElanHidConsumerControlDriver.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0189&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0189&Col02	ELAN HID Device	ETDHCF.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0189&Col03	ELAN	PTPFilter.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0189&Col05	ELAN	ElanHidConsumerControlDriver.inf	HP-SOFTWARE
HID\VID_044F&PID_B304&REV_0100&COL02	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_044F&PID_E000	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_046D&PID_C705&MI_00	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_04F2&PID_0001&MI_01	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_4503&REV_0100&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8103	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8126	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8127	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8140	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8145	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8146	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8151	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8152	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8154	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8155	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8156	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8158	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8159	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8160	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8162	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8167	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8168	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_0A5C&PID_8169	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_1CB6&PID_6680&MI_00&Col02	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_1CB6&PID_6680&MI_01	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_1CB6&PID_6680&REV_0100&MI_00&Col02	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_1CB6&PID_6680&REV_0100&MI_01	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_413C&PID_8152	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_413C&PID_8154	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_413C&PID_8156	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_413C&PID_8157&REV_0100	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_413C&PID_8158&REV_0100&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\VID_413C&PID_8162&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0430&Pid_0002&MI_00	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0430&Pid_0002&MI_01	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0430&Pid_0002&Rev_0100&MI_00	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0430&Pid_0002&Rev_0100&MI_01	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0430&Pid_0501	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0430&Pid_0501&Rev_5001	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0430&Pid_0530	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0430&Pid_0530&Rev_5001	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_046d&Pid_c50e&Rev_2500	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_046d&Pid_c50e&Rev_2510	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_046e&Pid_6782&MI_00	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_046e&Pid_6782&MI_01&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_046e&Pid_6782&MI_01&Col02	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_046e&Pid_6782&Rev_2110&MI_00	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_046e&Pid_6782&Rev_2110&MI_01&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_046e&Pid_6782&Rev_2110&MI_01&Col02	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_04B8&Pid_030E&Rev_0100&MI_	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_04f2&Pid_0001&Rev_0100&MI_00	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_04f2&Pid_0001&Rev_0100&MI_01	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_05E3&Pid_FFE2&Rev_0001&MI_	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0609&Pid_031d	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0609&Pid_032d	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0A81&Pid_0103&MI_01&Col02	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0A81&Pid_0103&MI_01&Col03	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_0A81&Pid_0103&Rev_0110&MI_	ELAN	ETD.inf	HP-SOFTWARE
HID\Vid_413c&Pid_8162&Rev_0100&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\WACOMVIRTUALHID&Col03	ELAN	ETD.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_141400AB	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_337C17CB	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_65701A3B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_65801A3B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_65811A3B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_80011EAC	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_80041EAC	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_8D99103C	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_8E64103C	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_910A14CD	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_930A17AA	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_940A14CD	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_950A14CD	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_960A14CD	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_961814CD	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_970A14CD	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_980A14CD	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_9F0A14CD	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_9F1814CD	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E0E917AA	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E0EB105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E0EE105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E0EF105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E0F3105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E107105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E114105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E11517AA	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E122105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E125105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E129105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1107&SUBSYS_E13D105B	Qualcomm Communications Inc.	qcwlanhmt8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_111017CB&REV_01	Qualcomm Communications Inc.	qcwlancol8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_111017CB&REV_01	Qualcomm Communications Inc.	qcwlancol8480_1.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_8EF3103C	Qualcomm Communications Inc.	qcwlancol8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_8EF3103C	Qualcomm Communications Inc.	qcwlancol8480_1.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E14B105B	Qualcomm Communications Inc.	qcwlancol8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E14B105B	Qualcomm Communications Inc.	qcwlancol8480_1.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E14C105B	Qualcomm Communications Inc.	qcwlancol8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E14C105B	Qualcomm Communications Inc.	qcwlancol8480_1.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E14E17AA	Qualcomm Communications Inc.	qcwlancol8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E14E17AA	Qualcomm Communications Inc.	qcwlancol8480_1.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E14F105B	Qualcomm Communications Inc.	qcwlancol8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E14F105B	Qualcomm Communications Inc.	qcwlancol8480_1.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E159105B	Qualcomm Communications Inc.	qcwlancol8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E159105B	Qualcomm Communications Inc.	qcwlancol8480_1.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E15A105B	Qualcomm Communications Inc.	qcwlancol8480.inf	HP-SOFTWARE
PCI\VEN_17CB&DEV_1112&SUBSYS_E15A105B	Qualcomm Communications Inc.	qcwlancol8480_1.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_8F03103C	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_8F46103C&REV_01	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_8F46103C&REV_02	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_8F46103C&REV_03	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_8F46103C&REV_04	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_8F47103C&REV_01	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_8F47103C&REV_02	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_8F47103C&REV_03	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_8F47103C&REV_04	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCASD\VEN_QCOM&DEV_0FCD&SUBSYS_CRD08480	Qualcomm Technologies, Inc.	qcasd8480.inf	HP-SOFTWARE
QCA_SHB\UART_H4	Qualcomm Incorporated	qcbtaddvscregistry8480.inf	HP-SOFTWARE
QCA_SHB\UART_H4_CLG	Qualcomm Incorporated	qcbtaddvscregistry8480.inf	HP-SOFTWARE
QCA_SHB\UART_H4_HMT	Qualcomm Incorporated	qcbtaddvscregistry8480.inf	HP-SOFTWARE
QCA_SHB\UART_H4_HSP	Qualcomm Incorporated	qcbtaddvscregistry8480.inf	HP-SOFTWARE
ROOT\SDCAVCodec	Qualcomm Technologies, Inc.	qcaxu8480.inf	HP-SOFTWARE
SDCA\AGGREGATEDSPEAKER	Qualcomm Technologies, Inc.	qcasd_CRD_Extension8480.inf	HP-SOFTWARE
SDCA\DynamicEnumChild	Qualcomm Technologies, Inc.	qcasd_CRD_Extension8480.inf	HP-SOFTWARE
SDCA_11\AUDIOFUNCTION	Qualcomm Technologies, Inc.	qcaxu8480.inf	HP-SOFTWARE
SOUNDWIRE\SDCA_06&MAN_0217&FUNC_0711&TYPE_04&VER_01&ADR_01&LID_00&UID_00&SUBSYS	Qualcomm Technologies, Inc.	qcaxu8480.inf	HP-SOFTWARE
SOUNDWIRE\SDCA_06&MAN_0217&FUNC_0714&TYPE_02&VER_01&ADR_02&LID_00&UID_00&SUBSYS	Qualcomm Technologies, Inc.	qcaxu8480.inf	HP-SOFTWARE
SOUNDWIRE\SDCA_06&MAN_0217&FUNC_1316&TYPE_01&VER_01&ADR_04&LID_00&UID_00&SUBSYS	Qualcomm Technologies, Inc.	qcaxu8480.inf	HP-SOFTWARE
SWC\MEP_AUD&VEN_MSFT_VOICEFOCUS_V3	Microsoft Corporation	mep_audio_component.inf	HP-SOFTWARE
SWC\MEP_CAM&VEN_MSFT_DEV_0FF0	Microsoft Corporation	mep_camera_component.inf	HP-SOFTWARE
SWC\VEN_QCOM&DEV_0F36&SWC_QCDPPS8480	Qualcomm Incorporated	qcdpps8480.inf	HP-SOFTWARE
SWC\VEN_QCOM&DEV_0FF5&SWC_QCDPPS8480	Qualcomm Incorporated	qcdpps8480.inf	HP-SOFTWARE
SWC\VEN_QCOM&DEV_ASDAPO_8480	Qualcomm Technologies, Inc.	qcasd_apo8480.inf	HP-SOFTWARE
SWC\VEN_QCOM&DEV_FLUENCEAPO_8480	Qualcomm Technologies, Inc.	qcfluenceai_apo_effectpack8480.inf	HP-SOFTWARE
SWC\VEN_QCOM&DEV_QCListenSoundModel&PLAT_8480	Qualcomm Technologies, Inc.	QCListenSM_swc8480.inf	HP-SOFTWARE
SWC\VEN_QCOM&DEV_QCListenSoundModel&PLAT_8480	Qualcomm Technologies, Inc.	QCListenSM_swc_ext8480.inf	HP-SOFTWARE
UEFI\RES_{84CB55F4-D08A-43BB-BB7D-07FA38476891}	HP Inc.	BIOS_eFuse_Payload.inf	HP-SOFTWARE
URS\QCOM0F8B&FUNCTION	Qualcomm Technologies, Inc.	QcUsbFnSsFilter8480.inf	HP-SOFTWARE
URS\QCOM0F8B&HOST	Qualcomm Technologies, Inc.	QcXhciFilter8480.inf	HP-SOFTWARE
URS\QCOM0F8C&FUNCTION	Qualcomm Technologies, Inc.	QcUsbFnSsFilter8480.inf	HP-SOFTWARE
